Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2005-01-03 00:00:00-05:00,1211.9200439453125,1217.800048828125,1200.3199462890625,1202.0799560546875,1510800000,0.0,0.0,^GSPC
2005-01-04 00:00:00-05:00,1202.0799560546875,1205.8399658203125,1185.3900146484375,1188.050048828125,1721000000,0.0,0.0,^GSPC
2005-01-05 00:00:00-05:00,1188.050048828125,1192.72998046875,1183.719970703125,1183.739990234375,1738900000,0.0,0.0,^GSPC
2005-01-06 00:00:00-05:00,1183.739990234375,1191.6300048828125,1183.27001953125,1187.8900146484375,1569100000,0.0,0.0,^GSPC
2005-01-07 00:00:00-05:00,1187.8900146484375,1192.199951171875,1182.1600341796875,1186.18994140625,1477900000,0.0,0.0,^GSPC
2005-01-10 00:00:00-05:00,1186.18994140625,1194.780029296875,1184.800048828125,1190.25,1490400000,0.0,0.0,^GSPC
2005-01-11 00:00:00-05:00,1190.25,1190.25,1180.4300537109375,1182.989990234375,1488800000,0.0,0.0,^GSPC
2005-01-12 00:00:00-05:00,1182.989990234375,1187.9200439453125,1175.6400146484375,1187.699951171875,1562100000,0.0,0.0,^GSPC
2005-01-13 00:00:00-05:00,1187.699951171875,1187.699951171875,1175.81005859375,1177.449951171875,1510300000,0.0,0.0,^GSPC
2005-01-14 00:00:00-05:00,1177.449951171875,1185.2099609375,1177.449951171875,1184.52001953125,1335400000,0.0,0.0,^GSPC
2005-01-18 00:00:00-05:00,1184.52001953125,1195.97998046875,1180.0999755859375,1195.97998046875,1596800000,0.0,0.0,^GSPC
2005-01-19 00:00:00-05:00,1195.97998046875,1195.97998046875,1184.4100341796875,1184.6300048828125,1498700000,0.0,0.0,^GSPC
2005-01-20 00:00:00-05:00,1184.6300048828125,1184.6300048828125,1173.4200439453125,1175.4100341796875,1692000000,0.0,0.0,^GSPC
2005-01-21 00:00:00-05:00,1175.4100341796875,1179.449951171875,1167.8199462890625,1167.8699951171875,1643500000,0.0,0.0,^GSPC
2005-01-24 00:00:00-05:00,1167.8699951171875,1173.030029296875,1163.75,1163.75,1494600000,0.0,0.0,^GSPC
2005-01-25 00:00:00-05:00,1163.75,1174.300048828125,1163.75,1168.4100341796875,1610400000,0.0,0.0,^GSPC
2005-01-26 00:00:00-05:00,1168.4100341796875,1175.9599609375,1168.4100341796875,1174.0699462890625,1635900000,0.0,0.0,^GSPC
2005-01-27 00:00:00-05:00,1174.0699462890625,1177.5,1170.1500244140625,1174.550048828125,1600600000,0.0,0.0,^GSPC
2005-01-28 00:00:00-05:00,1174.550048828125,1175.6099853515625,1166.25,1171.3599853515625,1641800000,0.0,0.0,^GSPC
2005-01-31 00:00:00-05:00,1171.3599853515625,1182.0699462890625,1171.3599853515625,1181.27001953125,1679800000,0.0,0.0,^GSPC
2005-02-01 00:00:00-05:00,1181.27001953125,1190.3900146484375,1180.949951171875,1189.4100341796875,1681980000,0.0,0.0,^GSPC
2005-02-02 00:00:00-05:00,1189.4100341796875,1195.25,1188.9200439453125,1193.18994140625,1561740000,0.0,0.0,^GSPC
2005-02-03 00:00:00-05:00,1193.18994140625,1193.18994140625,1185.6400146484375,1189.8900146484375,1554460000,0.0,0.0,^GSPC
2005-02-04 00:00:00-05:00,1189.8900146484375,1203.469970703125,1189.6700439453125,1203.030029296875,1648160000,0.0,0.0,^GSPC
2005-02-07 00:00:00-05:00,1203.030029296875,1204.1500244140625,1199.27001953125,1201.719970703125,1347270000,0.0,0.0,^GSPC
2005-02-08 00:00:00-05:00,1201.719970703125,1205.1099853515625,1200.1600341796875,1202.300048828125,1416170000,0.0,0.0,^GSPC
2005-02-09 00:00:00-05:00,1202.300048828125,1203.8299560546875,1191.5400390625,1191.989990234375,1511040000,0.0,0.0,^GSPC
2005-02-10 00:00:00-05:00,1191.989990234375,1198.75,1191.5400390625,1197.010009765625,1491670000,0.0,0.0,^GSPC
2005-02-11 00:00:00-05:00,1197.010009765625,1208.3800048828125,1193.280029296875,1205.300048828125,1562300000,0.0,0.0,^GSPC
2005-02-14 00:00:00-05:00,1205.300048828125,1206.9300537109375,1203.5899658203125,1206.1400146484375,1290180000,0.0,0.0,^GSPC
